game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score
2024-05-20,87.5,3.3,5.06,"Sale, Chris",640492,519242,field_out,hit_into_play,9,R,L,ATL,SD,X,6,ground_ball,2,2,0.36,1.84,NA,NA,NA,2,7,Top,3.3,1.61,11,97.2,-9,87.6,1913,52,7,Changeup,3,0,0,3
2024-05-20,94.8,3.12,5.15,"Sale, Chris",640492,519242,NA,ball,11,R,L,ATL,SD,B,NA,NA,1,2,-1.52,2.52,NA,NA,NA,2,7,Top,3.35,1.61,NA,NA,NA,95.2,2233,52,6,4-Seam Fastball,3,0,0,3
2024-05-20,93.9,-1.97,6.1,"Vásquez, Randy",606115,681190,field_out,hit_into_play,1,R,R,ATL,SD,X,7,fly_ball,2,2,-0.63,3.21,NA,NA,NA,2,6,Bot,3.5,1.63,342,92.2,42,93.4,2358,49,6,Sinker,3,0,3,0
2024-05-20,95.4,3.22,5.46,"Sale, Chris",640492,519242,NA,ball,12,R,L,ATL,SD,B,NA,NA,0,2,1.63,3.75,NA,NA,NA,2,7,Top,3.35,1.61,NA,NA,NA,95.4,2234,52,5,4-Seam Fastball,3,0,0,3
2024-05-20,80.8,-2.26,5.98,"Vásquez, Randy",606115,681190,NA,ball,13,R,R,ATL,SD,B,NA,NA,1,2,-0.21,1.07,NA,NA,NA,2,6,Bot,3.5,1.63,NA,NA,NA,80.1,3233,49,5,Curveball,3,0,3,0
2024-05-20,80.5,3.14,5.42,"Sale, Chris",640492,519242,NA,foul,14,R,L,ATL,SD,S,NA,NA,0,2,0.93,1.43,NA,NA,NA,2,7,Top,3.3,1.61,178,66.9,26,80.2,2237,52,4,Slider,3,0,0,3
2024-05-20,93.6,-1.92,5.48,"Berríos, José",686676,621244,walk,ball,14,R,R,TOR,CWS,B,NA,NA,3,2,0.8,1.35,NA,NA,NA,0,7,Top,3.59,1.68,NA,NA,NA,93.6,2026,51,7,Sinker,5,3,3,5
2024-05-20,86.4,-1.18,5.39,"Yamamoto, Yoshinobu",621028,808967,single,hit_into_play,2,R,R,LAD,AZ,X,4,ground_ball,2,2,0.04,2.9,NA,553993,NA,1,7,Top,3.16,1.49,83,96.9,4,86.8,2762,52,6,Slider,6,1,1,6
2024-05-20,95.1,3.14,5.47,"Sale, Chris",640492,519242,NA,foul,3,R,L,ATL,SD,S,NA,NA,0,2,0.45,2.94,NA,NA,NA,2,7,Top,3.3,1.61,211,74.3,45,95.8,2233,52,3,4-Seam Fastball,3,0,0,3
2024-05-20,96,-1.12,5.43,"Yamamoto, Yoshinobu",621028,808967,NA,ball,14,R,R,LAD,AZ,B,NA,NA,1,2,0.74,1.36,NA,553993,NA,1,7,Top,3.27,1.59,NA,NA,NA,96.6,2071,52,5,4-Seam Fastball,6,1,1,6
