game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score
2024-05-18,93.4,-0.29,6.28,"Ashcraft, Graham",669257,668933,field_out,hit_into_play,9,R,R,LAD,CIN,X,9,line_drive,3,1,0.31,1.95,NA,NA,518692,2,5,Bot,3.28,1.5,305,101.1,17,92.8,2332,38,5,Cutter,3,0,3,0
2024-05-18,93.2,-0.5,6.29,"Ashcraft, Graham",669257,668933,NA,called_strike,1,R,R,LAD,CIN,S,NA,NA,3,0,-0.65,2.98,NA,NA,518692,2,5,Bot,3.22,1.72,NA,NA,NA,92.4,2250,38,4,Cutter,3,0,3,0
2024-05-18,92.8,-0.67,5.98,"Ashcraft, Graham",669257,668933,NA,ball,14,R,R,LAD,CIN,B,NA,NA,2,0,0.09,0.75,NA,NA,518692,2,5,Bot,3.26,1.63,NA,NA,NA,91.6,2288,38,3,Sinker,3,0,3,0
2024-05-18,92.6,-0.27,6.31,"Ashcraft, Graham",669257,668933,NA,ball,11,R,R,LAD,CIN,B,NA,NA,1,0,-0.92,3.4,NA,NA,518692,2,5,Bot,3.28,1.71,NA,NA,NA,92.7,2274,38,2,Cutter,3,0,3,0
2024-05-18,87.6,-0.56,6.1,"Ashcraft, Graham",669257,668933,NA,ball,13,R,R,LAD,CIN,B,NA,NA,0,0,-0.68,1.52,NA,NA,518692,2,5,Bot,3.36,1.69,NA,NA,NA,86.8,2725,38,1,Slider,3,0,3,0
2024-05-18,95.5,-2.45,5.68,"Gausman, Kevin",656577,592332,field_out,hit_into_play,5,R,R,TOR,TB,X,9,fly_ball,0,1,0.24,2.82,642708,NA,676609,2,6,Top,3.47,1.63,323,100.7,44,96.3,2200,49,2,4-Seam Fastball,4,3,3,4
2024-05-18,81.6,-2.55,5.64,"Gausman, Kevin",656577,592332,NA,called_strike,8,R,R,TOR,TB,S,NA,NA,0,0,0.18,1.68,642708,NA,676609,2,6,Top,3.33,1.49,NA,NA,NA,82.3,2186,49,1,Slider,4,3,3,4
2024-05-18,89.1,-3.26,5.51,"Ureña, José",666160,570632,field_out,hit_into_play,13,L,R,TEX,LAA,X,4,ground_ball,0,2,-1.3,1.7,NA,621493,681351,2,6,Top,3.48,1.57,4,93.7,-20,89.3,2373,43,3,Slider,0,1,1,0
2024-05-18,87.9,-0.61,6.1,"Ashcraft, Graham",518692,668933,single,hit_into_play,5,L,R,LAD,CIN,X,8,line_drive,1,1,0.26,2.98,NA,500743,NA,2,5,Bot,3.64,1.81,223,89.7,14,87.2,2733,37,3,Slider,2,0,2,0
2024-05-18,85.8,-3.44,5.52,"Ureña, José",666160,570632,NA,called_strike,13,L,R,TEX,LAA,S,NA,NA,0,1,-0.96,1.65,NA,621493,681351,2,6,Top,3.38,1.61,NA,NA,NA,86,2297,43,2,Slider,0,1,1,0
2024-05-18,94,-0.33,6.28,"Ashcraft, Graham",518692,668933,NA,called_strike,8,L,R,LAD,CIN,S,NA,NA,1,0,-0.23,2.33,NA,500743,NA,2,5,Bot,3.64,1.92,NA,NA,NA,93.2,2216,37,2,Cutter,2,0,2,0
2024-05-18,93.8,-2.56,5.61,"Gausman, Kevin",676609,592332,single,hit_into_play,1,R,R,TOR,TB,X,8,line_drive,0,0,-0.63,2.68,NA,676356,642708,2,6,Top,3.04,1.33,208,73.1,21,94.4,2007,48,1,Sinker,4,2,2,4
2024-05-18,94.4,-0.66,6.02,"Ashcraft, Graham",518692,668933,NA,ball,13,L,R,LAD,CIN,B,NA,NA,0,0,-0.95,2.66,NA,500743,NA,2,5,Bot,3.63,1.84,NA,NA,NA,93.5,2427,37,1,Sinker,2,0,2,0
2024-05-18,85.1,-2.63,5.59,"Gausman, Kevin",642708,592332,single,hit_into_play,13,R,R,TOR,TB,X,7,line_drive,0,1,-1.36,2.19,650490,623912,676356,2,6,Top,3.33,1.61,241,76.5,22,85.3,1525,47,2,Split-Finger,4,0,0,4
2024-05-18,95.3,0.74,6.08,"Sandoval, Patrick",641680,663776,field_out,hit_into_play,5,R,L,TEX,LAA,X,9,fly_ball,0,0,-0.27,2.64,NA,NA,NA,2,6,Bot,3.57,1.66,291,94,50,95.1,1958,47,1,Sinker,1,1,1,1
2024-05-18,85.8,-3.46,5.54,"Ureña, José",666160,570632,NA,called_strike,7,L,R,TEX,LAA,S,NA,NA,0,0,-0.78,1.66,NA,621493,681351,2,6,Top,3.43,1.55,NA,NA,NA,86.3,2318,43,1,Slider,0,1,1,0
2024-05-18,93.6,-1.05,6.02,"Crawford, Kutter",671056,676710,strikeout,swinging_strike,12,R,R,STL,BOS,S,2,NA,1,2,0.31,3.85,NA,571448,676475,1,6,Bot,3.31,1.48,NA,NA,NA,93.1,2624,46,5,4-Seam Fastball,1,1,1,1
2024-05-18,95.4,-1.09,7.15,"Verlander, Justin",661388,434378,home_run,hit_into_play,2,R,R,HOU,MIL,X,NA,fly_ball,3,2,0.16,3.22,686217,694192,NA,2,5,Top,3.47,1.63,428,109.3,22,94.4,2390,35,13,4-Seam Fastball,1,1,1,1
2024-05-18,78.4,-2.5,5.15,"Flaherty, Jack",553993,656427,strikeout,swinging_strike_blocked,13,R,R,AZ,DET,S,2,NA,0,2,-0.19,0.46,592626,NA,656976,2,6,Bot,3.46,1.58,NA,NA,NA,78.8,2488,46,3,Knuckle Curve,2,0,2,0
2024-05-18,92.1,-3,5.29,"Gil, Luis",657557,661563,strikeout,called_strike,9,R,R,NYY,CWS,S,2,NA,3,2,0.42,1.72,NA,NA,650391,2,6,Top,3.5,1.48,NA,NA,NA,92.6,1687,49,6,Changeup,6,1,1,6
2024-05-18,94.6,-2.5,5.65,"Gausman, Kevin",642708,592332,NA,foul,11,R,R,TOR,TB,S,NA,NA,0,0,-0.85,3.82,650490,623912,676356,2,6,Top,3.33,1.61,56,74.9,1,94.9,2221,47,1,4-Seam Fastball,4,0,0,4
2024-05-18,95.6,-2.85,5.6,"Ureña, José",681351,570632,walk,ball,14,R,R,TEX,LAA,B,NA,NA,3,0,0.5,1.1,NA,621493,NA,2,6,Top,3.08,1.32,NA,NA,NA,95.6,2265,42,4,Sinker,0,1,1,0
2024-05-18,87.4,-0.46,6.1,"Ashcraft, Graham",660271,668933,field_out,hit_into_play,9,L,R,LAD,CIN,X,7,fly_ball,1,2,0.54,2.1,NA,500743,NA,1,5,Bot,3.57,1.66,238,98.9,57,87,2770,36,5,Slider,2,0,2,0
2024-05-18,84.1,0.65,5.96,"Sandoval, Patrick",666969,663776,home_run,hit_into_play,4,R,L,TEX,LAA,X,NA,fly_ball,2,1,-0.49,2.77,NA,NA,NA,2,6,Bot,3.43,1.65,410,104.7,26,84.1,1783,46,4,Changeup,0,1,0,1
