key_mlbam,name_first,name_last
NA,Kendal,Jefferies
684588,Will,Johnson
804647,Leofanny,Medina
642241,James,Ziemba
NA,George,Dobkowski
573099,Jordan,Poyer
570666,Luis,Cessa
445397,Darin,Davis
NA,Mason,Mantle
NA,Keisuke,Katto
NA,Logan,Pfannenbecker
453143,Christian,Castorri
NA,Sal,Annunziata
NA,Se Jin,Jang
542258,Carlos,Melo
678519,Shunta,Nakatsuka
607301,Nick,Rickles
NA,Mike,Rapacioli
NA,Jaylen,Biggers
430963,Tony,Peña
453402,Daryl,Maday
691947,Ronan,Kopp
447723,James,Hymon
650527,Ylexander,Villarroel
NA,Christian,Donaldson
691784,Luke,Leto
570246,Francisco,Turbi
NA,Kazuki,Kondoh
451789,Robert,Sandora
NA,Sergio,Ávila
NA,Luke,Drumheller
542893,William,Atwood
593774,Cristhofer,Martinez
694744,Nick,Stewart
633956,Matt,Hitt
702359,Noah,Mrotek
685006,Brandon,Ashy
446895,Chris,Sweet
NA,Demetre,Taylor
642239,Rob,Zastryzny
688847,Joseph,Fernando
683571,Franrielis,Bastardo
NA,Aidan,Walker
809754,Ethan,Bell
593938,Angel,Mata
804702,Cameron,Johnson
570795,Jorge,Guzman
690469,Kyle,Hayes
809343,Bryce,Mayer
820942,Jesmaylin,Arias
803099,Ryan,Callahan
457826,Tom,Mastny
NA,Garrett,Peters
703086,Ivan,Guerrero
NA,William,Hill
663681,Jarod,Bayless
680447,Brendan,Regan
450573,Samuel,Hewitt
457946,Nick,Walsh
694828,Carter,Sanford
676914,Davis,Schneider
592402,Cam,Hobson
607530,Greg,Fettes
NA,Jay,Booth
607314,Matthew,Young
NA,Tatsuya,Hashimoto
NA,Mike,Montville
NA,Blake,Davis
699882,Mason,Hopkins
641809,Anthony,Lyons
678510,Chris,Burkholder
NA,Karl,Johannessen
538189,Hector,Olivas
NA,Luca,van Gorkum
NA,Roddy,Hernandez
NA,Ben,Wolgamot
473208,Julio,Perez
676739,Nathan,Witt
NA,Michael,Robinson
820849,Joshue,De La Cruz
694820,Braxton,Roxby
823247,Chris,Barr
NA,Yuichiro,Okano
469176,Carlos,Rodriguez
NA,Conner,Burnett
815680,Ty,Wickline
457500,Wilfrido,Laureano
NA,Parker,Sisovsky
NA,Colin,Smith
812374,Braedyn,Cunningham
NA,Bo,Whitaker
NA,Kevin,Gerard
NA,Thomas,DiGirolomo
682522,Justin,Row
NA,Beau,Bratton
434670,Hanley,Ramírez
693538,Joel,Barker
453711,Brandon,Bahr
816319,Do Gyu,Kwak
452086,Chase,Dardar
501991,Matthew,Sulentic
656485,Casey,Grayson
809273,Noah,Butler
461816,Jesse,Torborg
NA,Connor,Cornwell
NA,Phil,Ferranti
NA,Hsin Hung,Tsai
689955,Quentin,Harris
NA,Tom,Mullin
664572,Yefry,Santana
NA,Darrell,Victoria
676514,Heath,Donica
446797,Scott,Foresman
457635,Sergio,Miranda
NA,Kuan Wei,Li
675455,Milan,Tolentino
NA,Lucas,Hamelink
NA,Gabriel,Hernandez
695426,Spencer,Bramwell
643427,Shane,Martin
571955,Bret,Montgomery
NA,Koki,Orishita
642094,Tyler,Smith
700320,Fidel,Montero
NA,Fabrizio,Lo Giudice
NA,Jacob,Miller
545525,Andy,Clark
NA,Nick,Senior
555904,Ross,Brayton
NA,Luke,Crumley
NA,Sandro,Mercantety
NA,Lázaro,Herrera
NA,Mitch,Saum
811297,Cade,Belyeu
821637,Deinys,Gonzalez
NA,Guan Xun,Chen
NA,Will,Jackson
686816,Taylor,Williams
451696,Michael,Bohlander
688960,Matthew,Hackman
488935,Russ,Haltiwanger
608594,Gabriel,Villavicencio
694825,Nelson,Rivera
NA,Jimmy,Moore
806349,Alex,Crump
NA,Caleb,Armour
NA,Scott,Johnson
448609,Tony,Sipp
465731,Wilander,Cruz
800689,Wesley,Helms
526332,Josue,Martinez
692114,Robin,Villenueve
NA,Tyler,Overaitis
NA,Alex,Wattermann
NA,Jimmy,Kerley
621146,Nolan,Gannon
682174,Joseph,Pena
NA,Fumiya,Motomae
703880,Jesus,Martinez
NA,Misaki,Sasahara
NA,Francesco,Dazzi
NA,Braden,Benton
NA,Nathan,Hodge
NA,Sang Kwon,Byeon
NA,TJ,Watcher
NA,Evan,Schreiber
442744,Jason,Pruitt
698911,Jair,Casanova
NA,Ryan,Baldwin
421684,Chris,Snelling
822701,Tristan,Salinas
NA,Trey,Bigford
667656,Jake,Hirabayashi
NA,Alex,Panstares
627489,Daniel,Tan
NA,Jax,Butigan
700445,Joe,Henry
NA,Bailey,Amble
673250,Ramon,Guzman
NA,Suk Min,Yoon
434705,Jason,Repko
657490,Isias,Alcantar
NA,Han-kil,Park
NA,Joe,Alcorn
NA,Ben,Randall
804609,Logan,Lee
NA,Marcelin,Minac
NA,James,Anderson
502247,Rob,Bryson
684890,D. C.,Arendas
526968,Limin,Jin
446290,Daniel,Moskos
657625,DJ,Jauss
682025,Cole,Hamilton
566814,Chris,Serritella
694565,Alex,Stone
462118,Travis,Jones
542964,Jonny,Bravo
499772,Scott,Grimes
NA,Alex,Dandridge
824285,Samuel,Round
822319,Michael,Pirrello
NA,Colton,Frank
622445,Andres,Martinez
NA,Stephanie,Brewer
NA,Jason,Boule
801595,Clayton,Hall
