game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score
2024-09-16,84.9,1.65,5.76,"Suárez, Ranger",642715,624133,field_out,hit_into_play,5,R,L,MIL,PHI,X,2,popup,3,2,-0.16,2.48,NA,NA,NA,2,5,Bot,3.45,1.7,25,73,80,85.2,2163,41,8,Cutter,3,1,3,1
2024-09-16,90.3,1.76,5.65,"Suárez, Ranger",642715,624133,NA,foul,14,R,L,MIL,PHI,S,NA,NA,3,2,0.94,2.47,NA,NA,NA,2,5,Bot,3.45,1.7,216,76.9,53,90.6,1874,41,7,Sinker,3,1,3,1
2024-09-16,99.8,-1.87,5.68,"Skenes, Paul",571448,694973,field_out,hit_into_play,14,R,R,STL,PIT,X,1,ground_ball,2,2,0.99,2,NA,691026,676475,2,6,Bot,3.44,1.69,7,95.1,-15,99.9,2096,43,8,4-Seam Fastball,1,0,1,0
2024-09-16,80.3,-2.08,5.12,"Arrighetti, Spencer",592518,681293,field_out,hit_into_play,14,R,R,SD,HOU,X,8,fly_ball,2,2,0.87,1.46,NA,665487,595777,2,5,Bot,3.61,1.66,225,79.7,49,81,2872,41,6,Sweeper,2,0,2,0
2024-09-16,72.9,1.51,5.67,"Suárez, Ranger",642715,624133,NA,ball,14,R,L,MIL,PHI,B,NA,NA,2,2,1.69,1.79,NA,NA,NA,2,5,Bot,3.5,1.73,NA,NA,NA,73.1,2153,41,6,Curveball,3,1,3,1
2024-09-16,94.3,-1.99,5.66,"Skenes, Paul",571448,694973,NA,foul,13,R,R,STL,PIT,S,NA,NA,2,2,-1.03,2.06,NA,691026,676475,2,6,Bot,3.44,1.69,2,80.3,-49,94.9,1588,43,7,Sinker,1,0,1,0
2024-09-16,94.9,-1.91,5.2,"Arrighetti, Spencer",592518,681293,NA,foul,4,R,R,SD,HOU,S,NA,NA,2,2,-0.79,2.95,NA,665487,595777,2,5,Bot,3.61,1.66,157,72.9,63,95.9,2247,41,5,4-Seam Fastball,2,0,2,0
2024-09-16,91.6,1.8,5.65,"Suárez, Ranger",642715,624133,NA,foul,2,R,L,MIL,PHI,S,NA,NA,2,2,-0.09,3.42,NA,NA,NA,2,5,Bot,3.45,1.7,231,75.4,42,92.1,2041,41,5,4-Seam Fastball,3,1,3,1
2024-09-16,85.5,-1.67,5.97,"Pallante, Andre",669707,669467,strikeout,called_strike,14,R,R,STL,PIT,S,2,NA,1,2,1.01,2.47,650559,694377,NA,2,7,Top,3.59,1.61,NA,NA,NA,87,2412,48,4,Slider,1,0,0,1
2024-09-16,73.8,1.25,6.28,"Detmers, Reid",642020,672282,strikeout,swinging_strike_blocked,13,R,L,LAA,CWS,S,2,NA,1,2,-0.26,0.6,NA,NA,NA,0,6,Top,3.36,1.64,NA,NA,NA,73.1,2422,44,8,Curveball,2,7,7,2
2024-09-16,98.4,-1.99,5.7,"Skenes, Paul",571448,694973,NA,foul,4,R,R,STL,PIT,S,NA,NA,2,2,-0.45,2.32,NA,691026,676475,2,6,Bot,3.44,1.69,186,67,47,98.5,2150,43,6,4-Seam Fastball,1,0,1,0
2024-09-16,86.6,1.69,5.78,"Suárez, Ranger",642715,624133,NA,foul,13,R,L,MIL,PHI,S,NA,NA,2,1,-0.93,2.48,NA,NA,NA,2,5,Bot,3.45,1.7,80,71.9,78,86.9,1961,41,4,Cutter,3,1,3,1
2024-09-16,95.7,-2.01,5.99,"Cannon, Jonathan",641779,686563,walk,ball,14,R,R,LAA,CWS,B,NA,NA,3,2,1.29,2.24,NA,694359,NA,2,7,Bot,3.58,1.69,NA,NA,NA,95.3,2228,57,6,Sinker,2,8,2,8
2024-09-16,94,-1.97,5.16,"Arrighetti, Spencer",592518,681293,NA,ball,14,R,R,SD,HOU,B,NA,NA,1,2,2.48,1.73,NA,665487,595777,2,5,Bot,3.52,1.5,NA,NA,NA,94.5,2264,41,4,4-Seam Fastball,2,0,2,0
2024-09-16,94.9,-2.09,5.9,"Cannon, Jonathan",641779,686563,NA,swinging_strike,14,R,R,LAA,CWS,S,NA,NA,3,1,0.88,2.15,NA,694359,NA,2,7,Bot,3.57,1.73,NA,NA,NA,94.5,2213,57,5,Sinker,2,8,2,8
2024-09-16,77.1,-1.46,6.07,"Pallante, Andre",669707,669467,NA,ball,2,R,R,STL,PIT,B,NA,NA,0,2,0.11,3.58,650559,NA,694377,2,7,Top,3.58,1.59,NA,NA,NA,77.4,2768,48,3,Knuckle Curve,1,0,0,1
2024-09-16,92.6,1.28,6.13,"Detmers, Reid",642020,672282,NA,foul,12,R,L,LAA,CWS,S,NA,NA,1,2,0.87,2.82,NA,NA,NA,0,6,Top,3.36,1.64,321,93.6,32,92.5,2149,44,7,4-Seam Fastball,2,7,7,2
2024-09-16,94.8,-1.82,5.23,"Arrighetti, Spencer",592518,681293,NA,called_strike,14,R,R,SD,HOU,S,NA,NA,1,1,0.94,2.37,NA,665487,595777,2,5,Bot,3.66,1.57,NA,NA,NA,95.6,2277,41,3,4-Seam Fastball,2,0,2,0
2024-09-16,75.1,1.53,5.71,"Suárez, Ranger",642715,624133,NA,called_strike,9,R,L,MIL,PHI,S,NA,NA,2,0,0.29,2.09,NA,NA,NA,2,5,Bot,3.58,1.77,NA,NA,NA,75.2,2216,41,3,Curveball,3,1,3,1
2024-09-16,89.7,2.69,5.31,"Imanaga, Shota",663527,684007,field_out,hit_into_play,12,R,L,CHC,OAK,X,6,ground_ball,2,1,0.86,2.63,NA,NA,663662,2,6,Top,3.59,1.61,2,67.6,-49,89.6,1724,55,4,Sinker,9,2,2,9
2024-09-16,85.4,-2.04,5.61,"Skenes, Paul",571448,694973,NA,foul,5,R,R,STL,PIT,S,NA,NA,2,2,0.19,2.56,NA,691026,676475,2,6,Bot,3.44,1.69,193,71.5,60,85.5,2133,43,5,Sweeper,1,0,1,0
2024-09-16,85,1.64,5.76,"Fried, Max",669257,608331,field_out,hit_into_play,8,R,L,ATL,LAD,X,9,fly_ball,1,0,0.2,1.97,NA,NA,NA,2,6,Top,3.29,1.5,202,85,60,85.7,1323,43,2,Changeup,0,3,3,0
2024-09-16,86.4,1.7,5.76,"Suárez, Ranger",642715,624133,NA,ball,11,R,L,MIL,PHI,B,NA,NA,1,0,-0.89,3.33,NA,NA,NA,2,5,Bot,3.56,1.81,NA,NA,NA,86.6,2052,41,2,Cutter,3,1,3,1
2024-09-16,94.8,-2.04,6.04,"Cannon, Jonathan",641779,686563,NA,ball,14,R,R,LAA,CWS,B,NA,NA,2,1,1.17,1.58,NA,694359,NA,2,7,Bot,3.64,1.7,NA,NA,NA,93.9,2119,57,4,Sinker,2,8,2,8
2024-09-16,84.8,1.64,5.93,"Detmers, Reid",642020,672282,NA,ball,9,R,L,LAA,CWS,B,NA,NA,0,2,0.63,1.55,NA,NA,NA,0,6,Top,3.46,1.61,NA,NA,NA,84.8,1660,44,6,Changeup,2,7,7,2
2024-09-16,89,2.69,5.3,"Imanaga, Shota",663527,684007,NA,called_strike,7,R,L,CHC,OAK,S,NA,NA,2,0,-0.58,1.8,NA,NA,663662,2,6,Top,3.5,1.6,NA,NA,NA,88.8,1793,55,3,Sinker,9,2,2,9
2024-09-16,78.1,-1.97,5.18,"Arrighetti, Spencer",592518,681293,NA,foul,4,R,R,SD,HOU,S,NA,NA,1,0,-0.41,2.47,NA,665487,595777,2,5,Bot,3.61,1.66,248,94,54,79,2751,41,2,Sweeper,2,0,2,0
2024-09-16,95,-1.32,6.2,"Pallante, Andre",669707,669467,NA,called_strike,6,R,R,STL,PIT,S,NA,NA,0,1,0.56,2.39,650559,NA,694377,2,7,Top,3.62,1.69,NA,NA,NA,95.8,2202,48,2,4-Seam Fastball,1,0,0,1
2024-09-16,99.3,-1.9,5.72,"Skenes, Paul",571448,694973,NA,ball,14,R,R,STL,PIT,B,NA,NA,1,2,1.43,2.29,NA,691026,676475,2,6,Bot,3.54,1.72,NA,NA,NA,99.5,2013,43,4,4-Seam Fastball,1,0,1,0
2024-09-16,81.6,2.73,5.37,"Imanaga, Shota",663527,684007,NA,ball,12,R,L,CHC,OAK,B,NA,NA,1,0,1.25,3.07,NA,NA,663662,2,6,Top,3.42,1.59,NA,NA,NA,81.4,893,55,2,Split-Finger,9,2,2,9
2024-09-16,94.4,-2,5.59,"Skenes, Paul",571448,694973,NA,foul,8,R,R,STL,PIT,S,NA,NA,1,1,0.07,1.96,NA,691026,676475,2,6,Bot,3.44,1.69,3,82.2,-29,94.8,1664,43,3,Sinker,1,0,1,0
2024-09-16,85.7,1.63,5.87,"Fried, Max",669257,608331,NA,ball,12,R,L,ATL,LAD,B,NA,NA,0,0,1.53,2.98,NA,NA,NA,2,6,Top,3.32,1.43,NA,NA,NA,86.3,2283,43,1,Cutter,0,3,3,0
2024-09-16,95.3,-1.48,6.1,"Pallante, Andre",669707,669467,NA,foul,5,R,R,STL,PIT,S,NA,NA,0,0,0.11,2.69,650559,NA,694377,2,7,Top,3.53,1.63,209,72.4,46,96.1,2121,48,1,Sinker,1,0,0,1
2024-09-16,86.7,1.43,6.1,"Detmers, Reid",642020,672282,NA,foul,7,R,L,LAA,CWS,S,NA,NA,0,2,-0.59,1.97,NA,NA,NA,0,6,Top,3.36,1.64,2,75.5,-39,86.6,2266,44,5,Slider,2,7,7,2
2024-09-16,89.3,-2.31,5.73,"Cannon, Jonathan",641779,686563,NA,foul,8,R,R,LAA,CWS,S,NA,NA,2,0,-0.13,1.62,NA,694359,NA,2,7,Bot,3.57,1.73,2,77.8,-36,89.4,2141,57,3,Cutter,2,8,2,8
2024-09-16,81,1.67,5.51,"Suárez, Ranger",642715,624133,NA,ball,14,R,L,MIL,PHI,B,NA,NA,0,0,0.2,1.51,NA,NA,NA,2,5,Bot,3.5,1.85,NA,NA,NA,81,1128,41,1,Changeup,3,1,3,1
2024-09-16,93.8,-1.89,5.34,"Arrighetti, Spencer",592518,681293,NA,ball,11,R,R,SD,HOU,B,NA,NA,0,0,-1.18,4.03,NA,665487,595777,2,5,Bot,3.58,1.57,NA,NA,NA,94.5,2197,41,1,4-Seam Fastball,2,0,2,0
2024-09-16,98.7,-1.96,5.63,"Skenes, Paul",571448,694973,NA,ball,12,R,R,STL,PIT,B,NA,NA,0,1,1.32,2.64,NA,691026,676475,2,6,Bot,3.47,1.61,NA,NA,NA,98.7,2205,43,2,4-Seam Fastball,1,0,1,0
