game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score
2024-09-05,82.7,-0.97,6.39,"Bradley, Taj",668885,671737,strikeout,called_strike,9,R,R,TB,MIN,S,2,NA,0,2,0.59,1.92,NA,NA,NA,2,7,Top,3.16,1.43,NA,NA,NA,82,2472,51,3,Curveball,2,4,4,2
2024-09-05,91.2,-1.37,6.14,"Bradley, Taj",668885,671737,NA,called_strike,3,R,R,TB,MIN,S,NA,NA,0,1,0.35,3.28,NA,NA,NA,2,7,Top,3.22,1.55,NA,NA,NA,91.1,2254,51,2,Cutter,2,4,4,2
2024-09-05,90.7,-1.44,6.15,"Bradley, Taj",668885,671737,NA,called_strike,12,R,R,TB,MIN,S,NA,NA,0,0,0.86,2.6,NA,NA,NA,2,7,Top,3.17,1.59,NA,NA,NA,90.7,2293,51,1,Cutter,2,4,4,2
2024-09-05,89.5,-1.62,6.09,"Brown, Hunter",668715,686613,field_out,hit_into_play,9,R,R,CIN,HOU,X,7,line_drive,1,0,0.46,1.36,NA,NA,NA,2,6,Bot,3.14,1.45,323,88.9,22,90.4,2161,46,2,Slider,0,0,0,0
2024-09-05,92,-1.54,6.15,"Bradley, Taj",650489,671737,grounded_into_double_play,hit_into_play,5,L,R,TB,MIN,X,6,ground_ball,1,2,-0.04,2.54,NA,NA,680777,0,7,Top,3.51,1.66,52,82,2,92.2,2140,50,4,Cutter,2,4,4,2
2024-09-05,92.7,-1.55,6.04,"Bradley, Taj",650489,671737,NA,foul,8,L,R,TB,MIN,S,NA,NA,1,1,-0.16,1.85,NA,NA,680777,0,7,Top,3.51,1.66,5,94.2,-19,92.9,1382,50,3,Split-Finger,2,4,4,2
2024-09-05,97.2,-1.29,6.31,"Brown, Hunter",668715,686613,NA,ball,12,R,R,CIN,HOU,B,NA,NA,0,0,0.33,3.7,NA,NA,NA,2,6,Bot,3.18,1.36,NA,NA,NA,98,2414,46,1,4-Seam Fastball,0,0,0,0
2024-09-05,97.2,-1.47,6.04,"Bradley, Taj",650489,671737,NA,called_strike,7,L,R,TB,MIN,S,NA,NA,1,0,-0.82,1.74,NA,NA,680777,0,7,Top,3.53,1.64,NA,NA,NA,96.9,2358,50,2,4-Seam Fastball,2,4,4,2
2024-09-05,96.3,-1.64,6.12,"Brown, Hunter",670770,686613,field_out,hit_into_play,4,L,R,CIN,HOU,X,6,line_drive,3,2,-0.59,2.16,NA,NA,NA,1,6,Bot,3.02,1.43,161,96.2,7,97.3,2215,45,7,Sinker,0,0,0,0
2024-09-05,92.8,-1.6,5.56,"Kelly, Merrill",689172,518876,strikeout,called_strike,3,L,R,SF,AZ,S,2,NA,2,2,0.72,3.22,NA,NA,NA,2,7,Bot,3.47,1.56,NA,NA,NA,92.1,2289,57,5,Sinker,2,2,2,2
2024-09-05,98.3,-1.45,6.11,"Bradley, Taj",650489,671737,NA,ball,13,L,R,TB,MIN,B,NA,NA,0,0,-0.08,0.67,NA,NA,680777,0,7,Top,3.53,1.72,NA,NA,NA,97.9,2480,50,1,4-Seam Fastball,2,4,4,2
2024-09-05,93.1,0.9,5.88,"Falter, Bailey",677588,663559,field_out,hit_into_play,11,L,L,PIT,WSH,X,6,ground_ball,1,2,-1.08,2.72,NA,NA,NA,2,5,Top,3.35,1.59,14,97.3,-10,95.2,1872,44,5,4-Seam Fastball,6,3,3,6
2024-09-05,86.9,-1.85,6.02,"Brown, Hunter",670770,686613,NA,foul,12,L,R,CIN,HOU,S,NA,NA,3,2,0.88,2.38,NA,NA,NA,1,6,Bot,3.02,1.43,187,90.7,13,87.5,1599,45,6,Changeup,0,0,0,0
2024-09-05,89.2,-1.73,5.95,"Brown, Hunter",670770,686613,NA,ball,13,L,R,CIN,HOU,B,NA,NA,2,2,-0.17,0.55,NA,NA,NA,1,6,Bot,2.82,1.31,NA,NA,NA,89.9,1657,45,5,Changeup,0,0,0,0
