game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score
2024-06-04,77.8,0.99,5.95,"Fried, Max",680776,608331,field_out,hit_into_play,13,L,L,BOS,ATL,X,6,ground_ball,2,2,-0.98,1.38,NA,NA,NA,2,7,Bot,3.51,1.68,34,81.8,0,77.4,3157,57,5,Curveball,3,7,3,7
2024-06-04,93.7,1.37,5.61,"Fried, Max",680776,608331,NA,called_strike,1,L,L,BOS,ATL,S,NA,NA,2,1,-0.65,3.27,NA,NA,NA,2,7,Bot,3.62,1.71,NA,NA,NA,94.3,2222,57,4,4-Seam Fastball,3,7,3,7
2024-06-04,86.7,1.67,5.31,"Fried, Max",680776,608331,NA,ball,14,L,L,BOS,ATL,B,NA,NA,1,1,0.51,1.41,NA,NA,NA,2,7,Bot,3.53,1.56,NA,NA,NA,86.8,1620,57,3,Changeup,3,7,3,7
2024-06-04,92.5,1.41,5.67,"Fried, Max",680776,608331,NA,foul,5,L,L,BOS,ATL,S,NA,NA,1,0,0.22,2.56,NA,NA,NA,2,7,Bot,3.51,1.68,275,84.1,29,93.4,2400,57,2,4-Seam Fastball,3,7,3,7
2024-06-04,99.2,-1.37,5.34,"Jones, Jared",518792,683003,strikeout,swinging_strike,12,L,R,PIT,LAD,S,2,NA,0,2,0.36,3.94,NA,NA,NA,2,6,Top,3.54,1.71,NA,NA,NA,100,2455,43,3,4-Seam Fastball,1,0,0,1
2024-06-04,89.9,0.62,5.99,"Sandoval, Patrick",630105,663776,field_out,hit_into_play,13,L,L,LAA,SD,X,6,ground_ball,1,2,-1.16,2.38,NA,595777,456781,2,6,Top,3.46,1.68,28,89.5,-3,90.1,2630,42,8,Slider,1,1,1,1
2024-06-04,96.2,-1.07,5.77,"Burnes, Corbin",662139,669203,field_out,hit_into_play,8,L,R,TOR,BAL,X,7,fly_ball,3,1,-0.06,1.49,NA,NA,NA,2,7,Bot,3.18,1.42,251,80.5,40,97.1,2837,58,5,Cutter,1,8,1,8
2024-06-04,98,-1.41,5.18,"Jones, Jared",518792,683003,NA,foul,8,L,R,PIT,LAD,S,NA,NA,0,1,-0.18,2,NA,NA,NA,2,6,Top,3.54,1.71,176,78.6,70,99.4,2504,43,2,4-Seam Fastball,1,0,0,1
2024-06-04,77.9,-2.24,6.37,"Spence, Mitch",664238,687765,field_out,hit_into_play,14,R,R,OAK,SEA,X,5,ground_ball,2,1,1.03,2.1,NA,NA,NA,2,6,Top,3.45,1.61,7,76.9,-18,77.4,2761,47,4,Curveball,1,4,4,1
2024-06-04,92.9,1.32,5.65,"Fried, Max",680776,608331,NA,ball,3,L,L,BOS,ATL,B,NA,NA,0,0,0.74,3.64,NA,NA,NA,2,7,Bot,3.62,1.77,NA,NA,NA,93.9,2328,57,1,4-Seam Fastball,3,7,3,7
2024-06-04,96.1,0.74,5.99,"Sandoval, Patrick",630105,663776,NA,foul,8,L,L,LAA,SD,S,NA,NA,1,2,-0.2,2.11,NA,595777,456781,2,6,Top,3.46,1.68,289,90.3,28,95.8,2181,42,7,4-Seam Fastball,1,1,1,1
2024-06-04,92.2,-2.74,6.19,"Spence, Mitch",664238,687765,NA,ball,11,R,R,OAK,SEA,B,NA,NA,1,1,-0.03,3.65,NA,NA,NA,2,6,Top,3.45,1.6,NA,NA,NA,92.2,2458,47,3,Sinker,1,4,4,1
2024-06-04,82.2,-1.38,5.56,"Jones, Jared",518792,683003,NA,called_strike,6,L,R,PIT,LAD,S,NA,NA,0,0,0.54,2.7,NA,NA,NA,2,6,Top,3.5,1.63,NA,NA,NA,83.4,2571,43,1,Curveball,1,0,0,1
2024-06-04,86.6,1.63,5.43,"Fried, Max",678882,608331,strikeout,foul_tip,14,R,L,BOS,ATL,S,2,NA,0,2,1.44,1.47,NA,NA,NA,1,7,Bot,3.35,1.6,NA,NA,NA,87,1453,56,3,Changeup,3,7,3,7
2024-06-04,96.7,-1.05,5.77,"Burnes, Corbin",662139,669203,NA,ball,14,L,R,TOR,BAL,B,NA,NA,2,1,0.39,1.02,NA,NA,NA,2,7,Bot,3.18,1.42,NA,NA,NA,97.6,2889,58,4,Cutter,1,8,1,8
2024-06-04,90.1,0.76,5.96,"Sandoval, Patrick",630105,663776,NA,foul,7,L,L,LAA,SD,S,NA,NA,1,2,-0.47,1.74,NA,595777,456781,2,6,Top,3.46,1.68,205,85.8,58,90.9,2633,42,6,Slider,1,1,1,1
2024-06-04,80.1,-1.37,5.39,"Lugo, Seth",671289,607625,home_run,hit_into_play,13,R,R,CLE,KC,X,NA,fly_ball,0,1,-0.06,1.3,NA,NA,686823,0,7,Bot,3.29,1.51,402,102.3,32,79.7,3361,57,2,Curveball,3,5,3,5
2024-06-04,97,-1.46,5.9,"Glasnow, Tyler",693304,607192,strikeout,called_strike,7,R,R,PIT,LAD,S,2,NA,3,2,-0.49,1.68,668804,663647,NA,2,6,Bot,3.33,1.45,NA,NA,NA,99.8,2729,48,6,4-Seam Fastball,1,0,1,0
2024-06-04,84,-2.83,6.03,"Spence, Mitch",664238,687765,NA,foul,6,R,R,OAK,SEA,S,NA,NA,1,0,0.3,2.4,NA,NA,NA,2,6,Top,3.45,1.61,200,71.1,60,83.5,2688,47,2,Slider,1,4,4,1
2024-06-04,91,1.45,5.69,"Fried, Max",678882,608331,NA,swinging_strike,6,R,L,BOS,ATL,S,NA,NA,0,1,0.69,2.69,NA,NA,NA,1,7,Bot,3.35,1.6,NA,NA,NA,91.2,2078,56,2,4-Seam Fastball,3,7,3,7
2024-06-04,91.8,-1.26,5.23,"Lugo, Seth",671289,607625,NA,called_strike,1,R,R,CLE,KC,S,NA,NA,0,0,-0.52,3,NA,NA,686823,0,7,Bot,3.52,1.58,NA,NA,NA,92.6,2455,57,1,Sinker,3,5,3,5
2024-06-04,88.9,-1,5.6,"Burnes, Corbin",662139,669203,NA,ball,14,L,R,TOR,BAL,B,NA,NA,1,1,0.63,0.76,NA,NA,NA,2,7,Bot,3.18,1.28,NA,NA,NA,88.9,1942,58,3,Changeup,1,8,1,8
2024-06-04,90.2,-1.53,5.21,"Jones, Jared",606192,683003,strikeout,swinging_strike,14,R,R,PIT,LAD,S,2,NA,2,2,1.17,2.15,NA,NA,NA,1,6,Top,3.54,1.62,NA,NA,NA,92.2,2565,42,5,Slider,1,0,0,1
2024-06-04,96.2,0.75,6.06,"Sandoval, Patrick",630105,663776,NA,foul,7,L,L,LAA,SD,S,NA,NA,1,2,-0.29,2.22,NA,595777,456781,2,6,Top,3.46,1.68,238,78.9,39,96.3,2163,42,5,4-Seam Fastball,1,1,1,1
2024-06-04,91.2,-2.38,6.24,"Spence, Mitch",664238,687765,NA,ball,11,R,R,OAK,SEA,B,NA,NA,0,0,-0.36,4.09,NA,NA,NA,2,6,Top,3.45,1.66,NA,NA,NA,91.8,2605,47,1,Cutter,1,4,4,1
2024-06-04,79.9,-1.26,5.53,"Lugo, Seth",686823,607625,single,hit_into_play,7,L,R,CLE,KC,X,8,line_drive,1,2,-0.41,1.66,NA,NA,NA,0,7,Bot,3.27,1.52,12,94.5,-7,79.3,3378,56,4,Curveball,3,5,3,5
2024-06-04,87.6,-1.7,5.98,"Glasnow, Tyler",693304,607192,NA,ball,12,R,R,PIT,LAD,B,NA,NA,2,2,0.08,4.21,668804,663647,NA,2,6,Bot,3.23,1.39,NA,NA,NA,90,2749,48,5,Slider,1,0,1,0
2024-06-04,96.4,-1.03,5.9,"Burnes, Corbin",662139,669203,NA,ball,13,L,R,TOR,BAL,B,NA,NA,0,1,-0.87,2.03,NA,NA,NA,2,7,Bot,3.18,1.42,NA,NA,NA,96.6,2694,58,2,Cutter,1,8,1,8
2024-06-04,97,-1.31,5.27,"Jones, Jared",606192,683003,NA,foul,6,R,R,PIT,LAD,S,NA,NA,2,1,0.64,2.74,NA,NA,NA,1,6,Top,3.54,1.62,277,80,41,98.3,2530,42,4,4-Seam Fastball,1,0,0,1
2024-06-04,93.3,1.54,5.58,"Fried, Max",678882,608331,NA,called_strike,9,R,L,BOS,ATL,S,NA,NA,0,0,0.65,1.5,NA,NA,NA,1,7,Bot,3.33,1.59,NA,NA,NA,93.8,2352,56,1,4-Seam Fastball,3,7,3,7
